text,Comment,Pattern Category,Pattern Type,Where in website?,label
I WANT TO PAY MORE LATER ;),Popup,Misdirection,Confirmshaming,Product Page,1.0
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Banner,Urgency,Limited-time Message,Product Page,1.0
Back by Demand,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"ONLY 5 LEFT, HURRY!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Functional Cookies,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Flash Sale ends in SHOP NOW  ,Product detail,Urgency,Countdown Timer,Product Page,1.0
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Performance Cookies,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
I am very pleased with the service I received.,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
7 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,1.0
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Hurry! Only 9 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 shop by trend ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Countdown Timer,Product Page,1.0
Delivery & support,$1.00 donation is default,Not Dark Pattern,Not Applicable,Checkout Process,0.0
SHOP TRIATHLON,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
The product you requested is not available in the selected country,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"No thanks, I don't like winning",Popup,Misdirection,Confirmshaming,Product Page,1.0
"You choose: just one box, or a  Madison Reed Membership?",Product detail,Misdirection,Low-stock Message,Product Page,1.0
Baby Cross Stitch & Embroidery Patterns,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
HHR remotes,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"No, I Don't Like Discounts",Popup,Misdirection,Confirmshaming,Product Page,1.0
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Product detail,Urgency,Limited-time Message,Product Page,1.0
$69.50 For A Limited Time Details,Product detail,Urgency,Limited-time Message,Product Page,1.0
 Accessibility statement ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Hurry! Only 1 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"2,221 people have purchased this item",Right side popup,Social Proof,Activity Notification,Product Page,1.0
"No, thanks. I'd prefer not to save.",Popup,Misdirection,Confirmshaming,Product Page,1.0
SAVE $200 OFF PUFFY,Adds free gifts to inflate discount,Urgency,Countdown Timer,Product Page,1.0
 Data Processor Privacy Policy: https://triplelift.com/privacy ,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
1 item left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Order without free membership $69.95,Banner,Misdirection,Activity Notification,Product Page,1.0
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Only 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Brushes ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
 Data Processor Privacy Policy: https://casalemedia.com/ ,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
"No thanks, I'll still want to pay full price",Popup,Misdirection,Confirmshaming,Product Page,1.0
Only 3 Left in Stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited time - final price reflects extra 29% off,Product detail,Urgency,Limited-time Message,Product Page,1.0
Hurry! Only 6 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 We value your privacy We use cookies to improve your website experience. We also use third-party cookies for marketing purposes. Learn more. ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
 Unstitched Fabric ,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
 Polar Lights II ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Shop by Health Goals,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
"No thanks, I'm not interested",Popup,Misdirection,Confirmshaming,Product Page,1.0
Customer also shopped for,Call to cancel,Misdirection,Pressured Selling,Cart Page,1.0
Shop Safely And Securely,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
 powered by: Cookie Information ,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
Free Shipping & Easy Returns always! ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Combination,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"No Thanks, I Don't Want To Save",Popup,Misdirection,Confirmshaming,Product Page,1.0
QUANTITY: *ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
6 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,1.0
GCC Compliance,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Please try again ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
How Do Our Crystals Looks in Real Life?,Add product to cart results in a popup asking you to also buy the Glasses,Not Dark Pattern,Not Applicable,Product Page,0.0
"No thanks, I want to pay full price",Popup,Misdirection,Confirmshaming,Product Page,1.0
commonpandacom@commonpandacom,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Yes, I Want To Save Money!No Thanks",Popup,Misdirection,Confirmshaming,Product Page,1.0
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Deal only valid for sometime. Goes away and replaced by another.,Urgency,Countdown Timer,Product Page,1.0
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",Call to cancel,Obstruction,Hard to Cancel,Cart Page,1.0
Only 4 left in this size!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
You might also like,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Shop By Fabric,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Product detail,Social Proof,Low-stock Message,Product Page,1.0
 View all Ink categories ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
 Intercoastal Performance Pant - True Navy ,Periodic popup,Not Dark Pattern,Not Applicable,Other Page,0.0
"NO THANKS, I DON’T WANT 15% OFF",Popup,Misdirection,Confirmshaming,Product Page,1.0
Bike Parts & Components,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
🔥👁️ 1 person is viewing this.,Product detail,Social Proof,Activity Notification,Product Page,1.0
Estimated VAT overview,69.99 becomes 90.61. Shipping charges are not disclosed until the end.,Not Dark Pattern,Not Applicable,Checkout Process,0.0
" Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator. ",Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
Hand & Foot Skin Care,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Not Dark Pattern,Not Applicable,Other Page,0.0
 Best Deals of the Month: April Edition ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Hurry up! Only 4 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Accent Chairs,Account creation,Not Dark Pattern,Not Applicable,Cart Page,0.0
"No thanks, I don't like to save",Popup,Misdirection,Confirmshaming,Product Page,1.0
 Subscribe To Us Subscribe ,Call to cancel,Not Dark Pattern,Not Applicable,Product Page,0.0
Customers also bought,Popup appears asking for you to buy more,Misdirection,Activity Notification,Product Page,1.0
407 customers have viewed this item recently,Product detail,Social Proof,Activity Notification,Product Page,1.0
Only 1 item(s) left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Kyanite Beads ,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
"No, I don't want great deals.",Popup,Misdirection,Confirmshaming,Product Page,1.0
I have a strong liking to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good. ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Holland Cooper,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Recovery Best Sellers,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Viewed 1040 times in the last 7 days,Product image,Social Proof,Activity Notification,Product Page,1.0
U.S. Vape Mail Ban FAQs,Call/email to cancel membership,Not Dark Pattern,Not Applicable,Other Page,0.0
異業合作 Cooperation,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
6 people have looked at this in the last few hrs.,Product image,Social Proof,Activity Notification,Product Page,1.0
Limited-time Offer: Bundle a base and get 20% off,Product detail,Misdirection,Limited-time Message,Product Page,1.0
Sale Womens Clothing,No deadline,Not Dark Pattern,Not Applicable,Product Page,0.0
Why I chose this:,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Product detail,Misdirection,Countdown Timer,Product Page,1.0
View Alternatives,Popup,Not Dark Pattern,Not Applicable,Cart Page,0.0
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Countdown Timer,Product Page,1.0
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Only 22 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ADD WORLD'S MOST COMFORTABLE CHAIRS,After adding to cart you're shown a full page popup,Misdirection,Pressured Selling,Product Page,1.0
ONLY 3 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Watch how its done,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
 View all Oil & Acrylic Brushes categories ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Get Personalised Health PlanGet Health Plan,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
LESS THAN 5 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
[new-troh-pick],Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",After adding to cart you're shown a full page popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Long and Tall,After adding to cart you're shown a full page popup,Not Dark Pattern,Not Applicable,Product Page,0.0
This offer is only VALID if you add to cart now!,After adding to cart you're shown a full page popup,Misdirection,Pressured Selling,Product Page,1.0
"Sign up for the latest updates, products and offers",Side wheel pop-up,Not Dark Pattern,Not Applicable,Product Page,0.0
"Subscribing means you agree to receive our emails, more details please refer to ourprivacy policy.",Checkout page,Not Dark Pattern,Not Applicable,Checkout Process,0.0
 Shop Sale by Print ,No deadline,Not Dark Pattern,Not Applicable,Product Page,0.0
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Product detail,Urgency,Limited-time Message,Product Page,1.0
Only 9 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Our items sell fast, don't miss out!",Product detail,Scarcity,High-demand Message,Product Page,1.0
Your order has been reserved for,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1.0
Sale ends soon,No deadline,Urgency,Countdown Timer,Product Page,1.0
only 5 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
135 people have this in their cart,Product detail,Social Proof,Activity Notification,Product Page,1.0
The Hoop Destination. Discover more,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Tight Bud,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
6 other people looking at this item,Product detail,Social Proof,Activity Notification,Product Page,1.0
selected language日本語currencyJPY,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Great choice!,Popup,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 1 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Would you like to purchase an Extended Protection Plan?,Adds insurance by default,Misdirection,Pressured Selling,Product Page,1.0
ONLY 14 LEFT AT THIS PRICE,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Not sold separately,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
16 recently purchased it.,Product detail,Social Proof,Activity Notification,Product Page,1.0
Plus Size Ripped Jeans,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
 Redirecting to Futech Deals for secure checkout... ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Football,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 All Men's Brands ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
*Freight/Higher Freight charges may apply to some areas. Click here to view Shipping Policy,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Long Sleeves Nightwear,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
 Hairy Chest T-Shirt And Shorts Combo ,After adding to cart you're shown a full page popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Covered all grays,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
7 sold in the last 48 hours,Product detail,Social Proof,Activity Notification,Product Page,1.0
 Menthol Flavors ,Periodic popup,Not Dark Pattern,Not Applicable,Other Page,0.0
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
FLASH 19:15:22,Product detail,Urgency,Low-stock Message,Product Page,1.0
"Only available for a LIMITED TIME, so get yours TODAY!",Product detail,Urgency,Limited-time Message,Product Page,1.0
2 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Oxfords & Loafers,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 9 items left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Reloading & Ammunition,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Product detail,Social Proof,Activity Notification,Product Page,1.0
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Read More ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"Ketolent subscriptions have no long term contracts. Pause, cancel, or change at any time. Want to swap Vanilla for Chocolate, or set up to renew every 3 weeks? No problem! Send us an email to help@ketolent.com and we'll make the change for you.",Email to cancel,Obstruction,Hard to Cancel,Other Page,1.0
Selling Fast,Product detail,Scarcity,High-demand Message,Product Page,1.0
"NO THANKS, I'D RATHER PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,1.0
 Stone Cold Steve Austin ,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
92 customers bought this in the last 48 hours,Product image,Social Proof,Activity Notification,Product Page,1.0
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,1.0
Click and Collect T&C,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Product image,Social Proof,Activity Notification,Product Page,1.0
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Product detail,Urgency,Limited-time Message,Product Page,1.0
Shirts & Blouses,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Different Types of Gold,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
HURRY! ONLY 14 LEFT IN STOCK.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
The best!,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Tracksuit,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Trending Style! Sold 4 times today,Product detail,Social Proof,Activity Notification,Product Page,1.0
Long African American Wigs,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Only one left in stock - order soon!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, only 1 left in stock!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Trending now! Added to basket 490 times today,Product image,Social Proof,Activity Notification,Product Page,1.0
Almost Famous Jeans,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"No Thanks, I Don't Like Saving Money.",Popup,Misdirection,Confirmshaming,Product Page,1.0
Professional Color Tool Kit / Addons,Periodic popup,Misdirection,Activity Notification,Product Page,1.0
 Tweet Share Pin It Add Email ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
 Tights ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 5 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Wireless Microphone,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 15 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited Quantity,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Cap Construction,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Need Help Finding The Right Product? ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Body Washes,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
ONLY 2 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
LIVE REMAINING STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Brand: NFL Pro Line by Fanatics Branded,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
339 users are currently active on our website,Lower left corner,Social Proof,Activity Notification,Product Page,1.0
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Product detail,Urgency,Low-stock Message,Product Page,1.0
Baby Boy Jumpsuits and Rompers,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"Nah, I'll pay full price",Popup,Misdirection,Confirmshaming,Product Page,1.0
"Like many websites, we share certain information, such as your IP address, device ID or similar online identifier, with certain third parties, such as social networks and advertising networks. This information is used to personalize advertising you see after you’ve visited our website. The California Consumer Privacy Act (“CCPA”) considers our sharing of that information in this manner to be a “sale.”For more information about the First and Third Party Cookies used please follow this link.",Account creation,Not Dark Pattern,Not Applicable,Other Page,0.0
Choose which store you would like to visit,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"You may cancel or renew your membership to the VIP Program or find out more information about your VIP Program subscription, including your annual expiration date, by contacting support@grove.co.",Call to cancel,Obstruction,Hard to Cancel,Other Page,1.0
"No Thanks, I like paying full price.",Popup,Misdirection,Confirmshaming,Product Page,1.0
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Product detail,Social Proof,Activity Notification,Product Page,1.0
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
3 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 52 items left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Cracked Nipples,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Fave x GrabPay,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"No thanks, I'll pay full price!",Popup,Misdirection,Confirmshaming,Product Page,1.0
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",Call to cancel,Obstruction,Hard to Cancel,Other Page,1.0
Only 4 left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Flex Mount ,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
"2,229 people have viewed this item",Popup right side,Social Proof,Activity Notification,Product Page,1.0
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Periodic popup,Social Proof,Low-stock Message,Product Page,1.0
FOR THE ULTIMATE EXPERIENCE: (Can select more than one),Product detail,Misdirection,Low-stock Message,Product Page,1.0
 Related Categories ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
from France,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
308 viewed per day,Product detail,Social Proof,Activity Notification,Product Page,1.0
Mom & Baby,Cart,Not Dark Pattern,Not Applicable,Product Page,0.0
This is in 5 other carts.,Product detail,Social Proof,Activity Notification,Product Page,1.0
STOCK IS GUARANTEED FOR 60 MINUTES,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1.0
Please add products to see your site in action,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
BSA FAC Air Rifles,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 2 units left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
style to command,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Only 5 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Banner,Urgency,Limited-time Message,Product Page,1.0
sweatshirts,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
On Sale! Limited Time Offer!,Product detail,Urgency,Limited-time Message,Product Page,1.0
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
 Ladies Flower Print Casual Fashion Dress ,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Call to cancel,Misdirection,Hard to Cancel,Other Page,1.0
Bath Bombs & Salts,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Wall art,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Bath Decor,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Free Shipping,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Household,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"An item you ordered is in high demand. No worries, we have prioritized your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,1.0
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,Product detail,Urgency,Countdown Timer,Product Page,1.0
Keep up with crankbrothers,Popup appears asking for you to buy more,Not Dark Pattern,Not Applicable,Product Page,0.0
Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"No thanks, I don't like savings",Popup,Misdirection,Confirmshaming,Product Page,1.0
We use cookies to give you the best experience possible. No personal information is stored. Using this website means that you are ok with this cookie policy.,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
218 people have added this item to cart,Popup right side,Social Proof,Activity Notification,Product Page,1.0
QUICK! ONLY 1 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left !,Product detail,Scarcity,Low-stock Message,Product Page,1.0
" Port, Sherry & Sweet Wine ",Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"No thanks, I prefer to pay more for shoes!",Popup,Misdirection,Confirmshaming,Product Page,1.0
Engine Cooling System,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
ONLY 5 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
How/why the homepage uses cookies,Adding to cart results in upselling,Not Dark Pattern,Not Applicable,Product Page,0.0
 mens long sleeve organic shirt ,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Product detail,Urgency,Limited-time Message,Product Page,1.0
 EDC-V Megalodon Bottle Opener - Brass (Exclusive),Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Availability: Low in stock today,Product detail,Scarcity,Low-stock Message,Product Page,1.0
NO THANKS,Popup,Misdirection,Confirmshaming,Product Page,1.0
 Motocross Gloves ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Popular item! 🔥 27 people recently purchased this.,Product detail,Social Proof,Activity Notification,Product Page,1.0
 All consumers in the EU are charged VAT on the purchase of goods and services.,Email to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
105 pawrents are buying for their furkids now!,Product detail,Social Proof,Activity Notification,Product Page,1.0
Compare at,Product detail,Misdirection,Visual Interference,Product Page,1.0
*Only 2 left in stock. Don't miss out!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 No reviews yet Write a review ,Side wheel pop-up,Not Dark Pattern,Not Applicable,Product Page,0.0
 Continue with Facebook Continue with Google ,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Not Applicable,Product Page,0.0
 TERMS OF SALE ,No deadline,Not Dark Pattern,Not Applicable,Product Page,0.0
"NO THANKS, I DON'T WANT TO SAVE MONEY",Popup,Misdirection,Confirmshaming,Product Page,1.0
Back Yard & Spa,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
Low Stock! Only 3 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 PopGrip Antimicrobial Refine by Product Type: PopGrip Antimicrobial ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
 Customer Support ,Call to cancel,Not Dark Pattern,Not Applicable,Cart Page,0.0
25% OFF SELECTED JACKETS Limited Time,Product detail,Urgency,Limited-time Message,Product Page,1.0
117 people have viewed this item in the last 7 days.,Popup right side,Social Proof,Activity Notification,Product Page,1.0
41 people have looked at this in the last couple of hours,Product image,Social Proof,Activity Notification,Product Page,1.0
Only 1 left in stock! Order soon!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
New Rifles,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Limited Time Promo $194.00,Product detail,Urgency,Limited-time Message,Product Page,1.0
