text,Comment,Pattern Category,Pattern Type,Where in website?,label
You have no items in your basket.,Product image,Not Dark Pattern,Activity Notification,Product Page,0
"no thanks, I hate fun & games",Popup,Misdirection,Confirmshaming,Product Page,1
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Countdown Timer,Product Page,1
Soft Flexible (Classic) ,Cart,Not Dark Pattern,Activity Notification,Product Page,0
Glasses and Goggles,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
 Zero Gravity Lift Chairs ,Product detail,Not Dark Pattern,Countdown Timer,Product Page,0
"Bobby in Decatur, United States just purchased",Periodic popup,Social Proof,Activity Notification,Product Page,1
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,Above contact information. Resets,Urgency,Countdown Timer,Cart Page,1
All Cross Stitch Patterns,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
 Year of Ours ,Product image,Not Dark Pattern,Low-stock Message,Product Page,0
Gear Up,Adding to cart results in insurance popup,Not Dark Pattern,Low-stock Message,Product Page,0
"Weight Management Shakes help cut cals, control appetite, and drop LBS.* Learn more about Weight Management Shakes.",Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Tretorn,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Loyalty Points ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 How to Recycle ,Adding to cart results in upselling,Not Dark Pattern,Confirmshaming,Cart Page,0
 Color Yellow Smoke Blue Pink Orange,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Banner,Urgency,Limited-time Message,Product Page,1
Art & Crafting Tools,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
One customer bought this article in the last 53 min.,Product detail,Social Proof,Activity Notification,Product Page,1
 Highlight Hover ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Disposable Washcloths ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Accuscreens,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Jumpers + Sweaters ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Contact Lens Washer ,Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
Only 9 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1
Hurry! Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
2 people are looking at this listing now,Product detail,Social Proof,Activity Notification,Product Page,1
Every Purchase Helps Your NRA:,Adds insurance by default,Not Dark Pattern,Pressured Selling,Product Page,0
1 left at this price,Product detail,Scarcity,Low-stock Message,Product Page,1
 BACK TO TOP ,Detail section for opt-out,Not Dark Pattern,Confirmshaming,Product Page,0
ONLY 12.5M LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1
Protect Your Gear,Adding to cart results in insurance popup,Misdirection,High-demand Message,Product Page,1
 Outdoor Recreation ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Allow All,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
We are currently accepting and processing orders from following:,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
What could have caused this?,Origin unclear,Not Dark Pattern,Activity Notification,Product Page,0
210+ bought,Product detail,Social Proof,Activity Notification,Product Page,1
"No thanks, I'm not interested in saving money.",Popup,Misdirection,Confirmshaming,Product Page,1
 SHIPPING INFO ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
"Plus, get free shipping on your first order!",Banner,Not Dark Pattern,Limited-time Message,Product Page,0
BMW Remotes,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
All You™,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,1
 Summer Casual Printed Short Sleeve T-Shirt ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
 Join NRA or Renew,Call to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,Detail section for opt-out,Misdirection,Pressured Selling,Cart Page,1
Know exactly what’s going on at home and be alerted of emergencies in real time. ,Origin unclear,Not Dark Pattern,Activity Notification,Product Page,0
Become an Affiliate,Shown for all products,Not Dark Pattern,High-demand Message,Checkout Process,0
Competitor Price: $172.00,Product detail,Misdirection,Countdown Timer,Product Page,1
"No thanks, I'd rather pay more",Popup,Misdirection,Confirmshaming,Product Page,1
6 items left! Order soon.,Product detail,Scarcity,Low-stock Message,Product Page,1
Sports ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
ONLY 20 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
By Brand All Men's Brands ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Customer Feedback,Call to cancel,Not Dark Pattern,Hard to Cancel,Cart Page,0
 Read the FAQ ,Email to cancel,Not Dark Pattern,Activity Notification,Product Page,0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1
"No thanks, I don't want 15% off",Popup,Misdirection,Confirmshaming,Product Page,1
"The presence of flowers is enough to make any occasion or moment truly a memorable affair. Flowers can make an ordinary room extremely beautiful. Flowers are widely used in decorations, as gifts, or even as ornaments on various dresses. People can explore a variety of fresh vibrant flowers such as roses, tulips, orchids, carnations, sunflowers, chrysanthemums and a lot more through the help of our online gifting store. All these beautiful flowers will be delivered at your desired destination in blooming condition only. With an unmatched beauty and fragrance, these gorgeous and lovely flowers can easily mesmerise any individual in an effortless manner.","Call to cancel. On clicking ""Learn more"".",Not Dark Pattern,Hard to Cancel,Other Page,0
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
99 people are looking at this right now,Product detail,Social Proof,Activity Notification,Product Page,1
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Periodic popup,Social Proof,Activity Notification,Product Page,1
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
 All Birthday Gifts ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Rainbow Li,Periodic popup,Not Dark Pattern,Hard to Cancel,Other Page,0
• Recommended to be used with Downy for better long lasting freshness ,"On adding to cart, you're asked to add more via popup",Not Dark Pattern,Pressured Selling,Product Page,0
cookie host,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 4 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
Almost Sold Out! Only 2 Left.,Product detail,Scarcity,Low-stock Message,Product Page,1
Pay With:,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Days left until the offer ends: 00 Days 04:43:35,Deal only valid for sometime. Goes away and replaced by another.,Urgency,Countdown Timer,Product Page,1
 Data Processor Privacy Policy: https://videoly.co/privacy-policy ,Call to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
 School Shoes,Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Confirmshaming,Product Page,0
 V-neck Casual Loose Embroidered Short Sleeve Blouse ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Spin to unlock your mystery offer,All products on sale? No deadline.,Misdirection,Limited-time Message,Product Page,1
Only 2 items left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1
104 people viewed this product recently!,Product detail,Social Proof,Activity Notification,Product Page,1
Material: Made with Cordura fabric,Buy insurance popup,Not Dark Pattern,Pressured Selling,Product Page,0
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
Recent searches,Cart,Not Dark Pattern,Pressured Selling,Product Page,0
"Gorgeous, lasting high-quality hair color—crafted in Italy.",Product detail,Not Dark Pattern,High-demand Message,Product Page,0
Only A Few Left,Product detail,Scarcity,Low-stock Message,Product Page,1
 Apple iPhone X » ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Periodic popup,Social Proof,Activity Notification,Product Page,1
Certified Face Masks,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Price Low To High ,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
"Leah Rich in Louisville, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1
Home + Tech Almost Gone,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Banner,Urgency,Limited-time Message,Product Page,1
Only 3 Left! Get it before it`s gone!,Product detail,Scarcity,Low-stock Message,Product Page,1
"No thanks, I'll be the last to know.",Popup,Misdirection,Confirmshaming,Product Page,1
Hurry Up ! Just 2 Items Left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Toe Ring,Cart,Not Dark Pattern,Pressured Selling,Product Page,0
Women's Acid Wash Scoopneck Sweater,Cart,Not Dark Pattern,Activity Notification,Product Page,0
62 people have looked at this item in the last few hours.,Product image,Social Proof,Activity Notification,Product Page,1
Boys Grey School Uniforms,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
8 customers have bought today,"Popup appears telling you to buy more after you hit ""Proceed to Checkout""",Social Proof,Activity Notification,Product Page,1
My Reviews,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Last 1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Skin Concerns,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
Only a few left,Product detail,Scarcity,Low-stock Message,Product Page,1
Romper Swimwear,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 View All Mattress Accessories ,Banner,Not Dark Pattern,Countdown Timer,Product Page,0
The page you were looking for doesn't exist.,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Popup,Not Dark Pattern,Confirmshaming,Product Page,0
 Chair Accessories ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"No Thanks, I'll let this offer sail away",Popup,Misdirection,Confirmshaming,Product Page,1
Stay in the Know,Cart,Not Dark Pattern,Activity Notification,Product Page,0
 V-neck Casual Loose Vintage Print Short Sleeve T-shirt ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Limited stock available,Product detail,Scarcity,Low-stock Message,Product Page,1
Thank you for posting a question!,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Installation InstructionsPolicies & Terms of UseFinancingSite Map,Lumping them all in one,Not Dark Pattern,Forced Enrollment,Product Page,0
Golf Shop,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
 Plastic ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Synthesis XCT Alloy Front Wheel,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Sneaking,Hidden Costs,Checkout Process,1
Shop Tops by Pattern,Banner,Not Dark Pattern,Activity Notification,Product Page,0
Striped Tops,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
My AccountSign-in to your account,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
"Due To HIGH Demand, Cart Expires In: 08:41",Product detail,Urgency,High-demand Message,Product Page,1
ONLY 3 LEFT! GET IT NOW!,Product detail,Scarcity,Low-stock Message,Product Page,1
5 people are looking at this product right now,Product detail,Social Proof,Activity Notification,Product Page,1
 Get The Look The Full Story Shop Now Read More ,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Don’t worry. We’ve got your back.,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Hurry up! Discount Ends in DAYS HRS MINS SECS,Product detail,Urgency,Countdown Timer,Product Page,1
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Product detail,Scarcity,High-demand Message,Product Page,1
 C.P. Company ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
In other users' carts 59,Banner. Offer still valid after expiration.,Social Proof,Activity Notification,Product Page,1
Nicholas Kirkwood,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Aids mental processing†,Account creation,Not Dark Pattern,Hard to Cancel,Other Page,0
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Periodic popup,Social Proof,Activity Notification,Product Page,1
 Crossbody & Belt Bags ,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
clear text ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
24 people currently interested,Popup,Social Proof,Activity Notification,Product Page,1
 Worldwide ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.",Email to cancel,Obstruction,Hard to Cancel,Other Page,1
AboutOur StoryOur MissionOur ProductsIn the News,Email to cancel,Not Dark Pattern,Activity Notification,Product Page,0
5 Viewing This Product,Product detail,Social Proof,Activity Notification,Product Page,1
23 People viewing this product,Product detail,Social Proof,Activity Notification,Product Page,1
Activate within 0:30:00,"Popup, and then sites in the lower right corner. The offer pops up again after expiration.",Urgency,Countdown Timer,Product Page,1
Concrete Tools,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Transmission and Driveline,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",Periodic popup,Social Proof,Activity Notification,Product Page,1
Fast Mover: 35 PEOPLE added this to cart today!,Product image,Social Proof,Activity Notification,Product Page,1
"Metal - Brass , hollow from inside ",Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
"No thank you, I prefer to pay full price",Popup,Misdirection,Confirmshaming,Product Page,1
 to read up about,Adding to cart results in upselling,Not Dark Pattern,Low-stock Message,Product Page,0
• State-by-State Restrictions,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,Product detail,Social Proof,Activity Notification,Product Page,1
No thanks. I prefer paying full price.,Popup,Misdirection,Confirmshaming,Product Page,1
"Crystal Li in Flushing, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1
Only 5 Left in Stock. Buy Soon!,Product detail,Scarcity,Low-stock Message,Product Page,1
 PG Picks: Skin Care for Incontinence ,Product detail,Not Dark Pattern,Limited-time Message,Product Page,0
"Carl F. from Fort Ann, NY bought a King",Periodic popup,Social Proof,Activity Notification,Product Page,1
137 users are currently active on our website,Lower left corner,Social Proof,Activity Notification,Product Page,1
Reloading Tools,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Edwin in Woodland Park, NJ just bought",Periodic popup,Social Proof,Activity Notification,Product Page,1
Returns / Warranty,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
83% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1
Loading,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Institute for Legislative Action,Product detail,Not Dark Pattern,Limited-time Message,Product Page,0
Clearance! Only 4 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1
"from Korea, South",Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
"Jeremy in Stockton, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1
Only 4 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1
 Alchemy Books ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",Email to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 1 products left,Product detail,Scarcity,Low-stock Message,Product Page,1
1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
🔥 9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,1
715 people have added this item to cart,Popup right side,Social Proof,Activity Notification,Product Page,1
 Black / White Refine by Color: Black / White ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Call It Spring,Product detail,Not Dark Pattern,High-demand Message,Product Page,0
Bathroom Basins,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Infrared Night Vision,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Download mobile app,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Write a reviewAsk a question,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
00DAYS02HRS14MINS1211SEC,Account creation,Urgency,Hard to Cancel,Product Page,1
RegionBracket Right,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Boxster Remotes,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
24 people have purchased this wine today,Product detail,Social Proof,Activity Notification,Product Page,1
Rare Book Conditions ,Cart,Not Dark Pattern,Forced Enrollment,Product Page,0
Hurry! Less than 10 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
"I DON'T LIKE FREE GIFTS, NO THANKS",Popup,Misdirection,Confirmshaming,Product Page,1
We don't give out your details to third parties.,Product detail,Not Dark Pattern,Hard to Cancel,Product Page,0
Short Sleeve T-Shirts ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
ONLY 13 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Periodic popup,Social Proof,Activity Notification,Product Page,1
 Tires,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Someone in Egypt bought,Periodic popup,Social Proof,Activity Notification,Product Page,1
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",Periodic popup,Social Proof,Low-stock Message,Product Page,1
Bearded Dragon Substrates,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
Toddler Girl Jumpsuits and Rompers,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Enable cookies to use the shopping cart,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Women's Go-Tos,Double negative,Not Dark Pattern,Activity Notification,Other Page,0
"This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls.",Email to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,Below product image. Resets.,Urgency,Countdown Timer,Product Page,1
"No, I'd rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,1
Shopping with JD,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Activity Notification,Product Page,0
 All Brands A-Z ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
 Light Blue Regular Fit Single Cuff Easy Care Shirt ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Crop Tops,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Photography Projector,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Salt Bender Tank and Shorts Combo ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Diamond Nose Studs ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Military Discount ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
"Customize your phone with hundreds of grips, cases, wallets, and more.",Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
5338 people viewed this in the last hour,Product image,Social Proof,Activity Notification,Product Page,1
Only 1 item left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
 Add to Wish List Add to Compare ,After adding to cart you're shown a full page popup,Not Dark Pattern,Pressured Selling,Product Page,0
"No Thanks, I don't want a discount",Popup,Misdirection,Confirmshaming,Product Page,1
Availability: In Stock Hurry! Only 8 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1
 Italy € EUR ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Politics And Legislation,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Fewer than 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
 Gift Cards Collection ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
"No Thanks, I prefer paying full price.",Popup,Misdirection,Confirmshaming,Product Page,1
We guarantee to match a lower online price.,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
"Hurry, before it is gone! Limited time remaining!",Product detail,Urgency,Limited-time Message,Product Page,1
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Periodic popup,Social Proof,Countdown Timer,Product Page,1
Select your size below and we'll email you if it comes back in stock!,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Only 867 left,Product detail,Scarcity,Low-stock Message,Product Page,1
About Cheryl's Business Gifts,Adding to cart results in upselling,Not Dark Pattern,Activity Notification,Product Page,0
Only 2 units left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,Call to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
Only one item left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1
Synthesis E-MTB Alloy Rear Wheel,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
LIMITED TIME DEAL!,Product detail,Urgency,Limited-time Message,Product Page,1
Only 3 available,Product detail,Scarcity,Low-stock Message,Product Page,1
Only 1 left in online stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Great for shine,Product detail,Not Dark Pattern,Limited-time Message,Product Page,0
 Learn More ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
" Paper, Pads & Blocks Toggle category Paper, Pads & Blocks ",Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Hurry! Almost Sold Out...,Product detail,Scarcity,Low-stock Message,Product Page,1
. ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 2 copies left,Product detail,Scarcity,Low-stock Message,Product Page,1
Christmas Craft Ideas,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Limited Quantity Available,Product detail,Scarcity,Low-stock Message,Product Page,1
"No Thanks, I Don't Like Exclusive Offers.",Popup,Misdirection,Confirmshaming,Product Page,1
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
2 items left,Product detail,Scarcity,Low-stock Message,Product Page,1
PomeloFashion born in AsiaOn trend. Online. On the go.,Product detail,Not Dark Pattern,Limited-time Message,Product Page,0
"Available, only 2 left",Product detail,Scarcity,Low-stock Message,Product Page,1
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
Cowgirls,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Rs INR ,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
- +,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
If I emailed you how much I love each jersey you’d have an essay coming your way!,Call to cancel,Not Dark Pattern,High-demand Message,Checkout Process,0
 Shirts & Blouses ,Banner,Not Dark Pattern,Pressured Selling,Product Page,0
JFN Ladies Flat Embroidered Slip-On Dirty Shoes Vintage Thong Sandals,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
 New in ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",Call to cancel,Obstruction,Hard to Cancel,Cart Page,1
About Bob's,Adding to cart results in upselling,Not Dark Pattern,Pressured Selling,Product Page,0
22 people have looked at this part recently,Product image,Social Proof,Activity Notification,Product Page,1
Limited Time!,Product detail,Urgency,Limited-time Message,Product Page,1
4 sold in last 5 hours,Product detail,Social Proof,Activity Notification,Product Page,1
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Periodic popup,Social Proof,Activity Notification,Product Page,1
Your order is reserved for 08:53 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1
 Rudraksha Recommendations ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
OFFER ENDS: 09h: 09m: 55s: 0 ,Banner. Offer still valid after expiration.,Urgency,Countdown Timer,Product Page,1
 Added to Favorites ,Popup right side,Not Dark Pattern,Activity Notification,Product Page,0
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
Brown Dresses,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,Product detail,Social Proof,Activity Notification,Product Page,1
"They look really good with my brown eyes, and they look pretty natural.",Popup,Not Dark Pattern,Confirmshaming,Product Page,0
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy ,Contact customer care to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
Hurry! Only 1 Pair left!,Product detail,Scarcity,Low-stock Message,Product Page,1
Plus Size Graphic Tops,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Protection Filters,Adds insurance by default,Not Dark Pattern,Pressured Selling,Product Page,0
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Above product detail,Urgency,Countdown Timer,Product Page,1
Interactive Tent Finder,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Cart will expire in 04:53 minutes!,Above contact information. Resets,Urgency,Countdown Timer,Cart Page,1
✕,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Hurry, Only 4 Left In Stock. Buy Now!",Product detail,Scarcity,Low-stock Message,Product Page,1
take me back to shopping,Popup,Not Dark Pattern,Activity Notification,Product Page,0
Only 7 left,Product detail,Scarcity,Low-stock Message,Product Page,1
89% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1
"No thanks, I hate cool stuff",Popup,Misdirection,Confirmshaming,Product Page,1
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,1
20 units left,Product detail,Scarcity,Low-stock Message,Product Page,1
High demand,Product detail,Scarcity,High-demand Message,Product Page,1
3642 BOUGHT,Product detail,Social Proof,Activity Notification,Product Page,1
5 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
